Nr.;title;phone;street;postcode;city;lng;lat
419;Aarau ;062 823 59 43;Graben 29;5000;Aarau;8.045447;47.392063
407;Affolt. am A. Ochsner Sport Outlet;043 333 97 72;Büelstrasse 15;8910;Affoltern am Albis;8.446985;47.274219
632;Arbon -P;071 440 20 45;St. Gallerstrasse 5;9320;Arbon;9.432153;47.512074
496;Aubonne Ochsner Sport Outlet;021 807 12 73;chemin d'es Bons 14;1170;Aubonne;6.39677;46.479318
590;Avry-sur-Matr. ;026 470 08 86;route de Matran 9;1754;Avry-sur-Matran;7.080122;46.787516
725;Baden;056 210 09 30;Badstrasse 35;5400;Baden;8.308806;47.475768
341;Basel St. Jakob ;061 373 05 06;St. Jakobs-Strasse 397;4052;Basel;7.620011;47.540567
375;Basel Bahnhof SBB;061 363 08 33;Güterstrasse 115;4053;Basel;7.587309;47.545635
495;Basel Freie Strasse;061 261 22 41;Freie Strasse 53;4001;Basel;7.590188;47.556133
577;Basel Stücki ;061 631 28 76;Hochbergerstrasse 70;4057;Basel;7.594867;47.579666
216;Bern Bahnhof ;031 329 23 23;Bahnhofplatz 9;3011;Bern;7.440598;46.948414
538;Biel Nidau ;032 322 72 80;Nidaugasse 5;2502;Biel/Bienne;7.245802;47.139913
683;Buchs SG ;081 756 03 36;Bahnhofstrasse 18;9470;Buchs SG;9.47611;47.166821
654;Bulle ;026 913 70 51;rue de l'Europe 14;1630;Bulle;7.057502;46.625348
368;Carouge GE ;022 301 56 82;route des Jeunes 10;1227;Carouge GE;6.128733;46.18594
490;Chur Bahnhof ;081 250 14 66;Bahnhofplatz 7;7000;Chur;9.530007;46.853195
626;Chur CITY WEST ;081 252 10 04;Raschärenstrasse 37;7000;Chur;9.50836;46.847459
651;Collombey ;024 471 95 63;chemin des Fossaux;1868;Collombey;6.95458;46.266358
589;Conthey ;027 346 59 20;route Cantonale 4;1964;Conthey;7.2949;46.225354
340;Crissier ;021 636 20 88;Chemin de Saugy 1;1023;Crissier;6.570001;46.547593
653;Davos Promenade ;081 413 15 10;Promenade 45;7270;Davos Platz;9.820747;46.793921
563;Delémont ;032 423 55 62;rte Distribution Urbaine 5;2800;Delémont;7.338896;47.368817
394;Dietlikon ;043 495 51 25;Neue Winterthurerstrasse 7;8305;Dietlikon;8.620873;47.415754
320;Egerkingen ;062 387 80 60;Hausimollstrasse 1;4622;Egerkingen;7.801088;47.317789
223;Emmenbrücke ;041 262 12 80;Stauffacherstrasse 1;6020;Emmenbrücke;8.286998;47.073332
628;Eyholz ;027 946 22 85;Kantonsstrasse 57;3930;Eyholz;7.914104;46.296262
230;Frauenfeld ;052 720 26 80;Bahnhofplatz 72;8500;Frauenfeld;8.896021;47.557187
366;Fribourg ;026 341 74 00;avenue de la Gare 10;1700;Fribourg;7.152037;46.803046
400;Genéve Cité ;022 310 89 68;rue du Marché 9 - 11;1204;Genéve;6.146593;46.203282
511;Glarus Hauptstr. ;055 640 17 07;Hauptstrasse 41;8750;Glarus;9.067349;47.040596
222;Wallis. Glatt ;044 877 40 80;Einkaufszentrum Glatt;8301;Glattzentrum b. Wallisellen;8.59437;47.40914
418;Glis ;027 924 97 44;Saltinaplatz 1;3902;Glis;7.987385;46.315819
414;Grancia ;091 994 68 80;via Cantonale;6916;Grancia;8.927576;45.973244
279;Granges-Paccot ;026 465 12 10;route d'Agy 1;1763;Granges-Paccot;7.153613;46.820763
321;Heimberg ;033 437 42 42;Gurnigelstrasse 38;3627;Heimberg;7.604131;46.780576
608;Hinwil ;043 843 77 85;Wässeristrasse 28;8340;Hinwil;8.820357;47.305402
540;Kreuzlingen ;071 672 86 41;Sonnenstrasse 16;8280;Kreuzlingen;9.173432;47.650096
456;Kriens ;041 340 57 14;Ringstrasse 19;6010;Kriens;8.300491;47.018063
432;La Chx-d-F Entil ;032 926 14 41;avenue Léopold-Robert 151;2300;La Chaux-de-Fonds;6.816745;47.094722
352;Langenthal ;062 923 89 00;St. Urbanstrasse 22;4900;Langenthal;7.791517;47.212391
330;Lausanne Grand-Pont ;021 311 34 10;rue du Grand-Pont 1;1003;Lausanne;6.630579;46.521148
579;Lausanne Métropole ;021 312 68 41;rue des terreaux 25;1003;Lausanne;6.627046;46.522901
319;Luzern Pilatus ;041 220 21 21;Pilatusstrasse 8;6003;Luzern;8.308059;47.049762
569;Luzern Hertenst. ;041 410 54 71;Hertensteinstrasse 50;6004;Luzern;8.307484;47.053974
673;Lyss ;032 384 53 66;Hirschenplatz 1a;3250;Lyss;7.306669;47.07437
486;Lyssach ;034 445 86 33;Bernstrasse 35;3421;Lyssach;7.572531;47.075524
609;Martigny ;027 722 79 31;avenue de Fully 53;1920;Martigny;7.076065;46.111539
525;Matten b. Int. ;033 823 72 50;Aegertiweg 33;3800;Matten b. Interlaken;7.870186;46.679139
617;Mels ;081 723 02 74;Grossfeldstrasse 63;8887;Mels;9.434168;47.0409
277;Morges ;021 803 00 71;rue des Fossés 4;1110;Morges;6.498388;46.510701
133;Murgenthal Ochsner Sport Outlet;062 926 41 71;Hauptstrasse 81;4853;Murgenthal;7.840282;47.271392
706;Glarus Netstal ;055 640 47 08;Molliserstrasse 41;8754;Netstal;9.0586152;47.0674005
472;Neuchâtel ;032 724 52 87;rue de la Pierre-ŕ-Mazel 10;2000;Neuchâtel;6.93887;46.99508
452;Oftringen ;062 798 08 60;Spitalweidstrasse 1;4665;Oftringen;7.92652;47.307046
218;Pfäffikon SZ ;055 420 30 00;Gwattstrasse;8808;Pfäffikon SZ;8.790627;47.202999
326;Pratteln Grüssen ;061 827 97 10;Grüssenweg 10;4133;Pratteln;7.690161;47.527029
627;Rapperswil SG ;055 210 90 69;Zürcherstrasse 4;8640;Rapperswil SG;8.819949;47.229024
329;Regensdorf ;044 843 44 77;Adlikerstrasse 295;8105;Regensdorf;8.465574;47.443919
681;Rothenburg ;041 280 73 90;Wahligenstrasse 4;6023;Rothenburg;8.245145;47.09262
348;Schaffhausen Herbl. ;052 640 12 34;Stüdliackerstrasse 10;8207;Schaffhausen;8.665189;47.721243
661;Schönenwerd Ochsner Sport Outlet;062 849 31 08;Gösgerstrasse 22;5012;Schönenwerd;8.000291;47.372821
395;Seewen SZ ;041 810 43 12;Steinbislin;6423;Seewen SZ;8.628948;47.03253
236;Signy ;022 363 75 10;rue des Fléchéres 7 A;1274;Signy;6.205932;46.397797
235;Sion Dixence ;027 323 84 84;Rue de la Dixence 6;1950;Sion;7.362248;46.231412
221;Spreitenbach ;056 418 40 20;Shopping Center;8957;Spreitenbach;8.368388;47.421886
404;St. Gallen Multer ;071 220 86 25;Multergasse 26;9000;St. Gallen;9.37483;47.42407
524;St. Gallen Arena ;071 310 25 75;Zürcher Strasse 462;9015;St. Gallen;9.30492;47.407536
576;St. Margrethen;071 740 92 76;Neudorfstrasse 60;9430;St. Margrethen SG;9.65254;47.447682
578;Stans ;041 611 10 56;Stansstaderstrasse 88;6370;Stans;8.354685;46.967254
415;Tenero ;091 745 48 04;via Brere 8;6598;Tenero;8.855668;46.168714
328;Thun LOEB ;033 221 58 00;Bälliz 39;3600;Thun;7.627658;46.75835
625;Thun Panorama ;033 221 83 66;Weststrasse 14;3604;Thun;7.599851;46.742174
429;Vevey ;021 923 87 17;avenue Général-Guisan 15;1800;Vevey;6.836501;46.466835
278;Villeneuve VD ;021 960 48 40;zone industrielle D 107;1844;Villeneuve VD;6.931944;46.387799
224;Visp ;027 945 12 20;Kantonsstrasse 14;3930;Visp;7.88263;46.292155
335;Volketswil Volki;044 946 27 20;Industriestrasse 1;8604;Volketswil;8.667623;47.381942
499;Volketswil Industrie ;044 945 15 79;Industriestrasse 15;8604;Volketswil;8.67065;47.381356
